id	latitude	longitude	datetime	tag_id
40549	42.625376	9.490040	2019-09-16 16:57:36	2
40550	42.625316	9.490044	2019-09-16 16:57:40	2
40551	42.625366	9.489986	2019-09-16 16:57:42	2
40552	42.625305	9.489991	2019-09-16 16:57:46	2
40553	42.625310	9.489945	2019-09-16 16:57:50	2
40554	42.625290	9.489926	2019-09-16 16:57:52	2
40555	42.625352	9.489788	2019-09-16 16:58:07	2
40556	42.625293	9.489759	2019-09-16 16:58:11	2
40557	42.625291	9.489716	2019-09-16 16:58:13	2
40558	42.625271	9.489687	2019-09-16 16:58:17	2
40559	42.625292	9.489700	2019-09-16 16:58:19	2
40560	42.625332	9.489668	2019-09-16 16:58:21	2
40561	42.625251	9.489685	2019-09-16 16:58:23	2
40562	42.625276	9.489624	2019-09-16 16:58:27	2
40563	42.625247	9.489573	2019-09-16 16:58:29	2
40564	42.625288	9.489602	2019-09-16 16:58:31	2
40565	42.625265	9.489541	2019-09-16 16:58:37	2
40566	42.625265	9.489554	2019-09-16 16:58:39	2
40567	42.625210	9.489393	2019-09-16 16:58:47	2
40568	42.625248	9.489383	2019-09-16 16:58:57	2
40569	42.625256	9.489344	2019-09-16 16:59:01	2
40570	42.625282	9.489216	2019-09-16 16:59:15	2
40571	42.625277	9.489071	2019-09-16 16:59:31	2
40572	42.625266	9.489044	2019-09-16 16:59:33	2
40573	42.625207	9.488937	2019-09-16 16:59:35	2
40574	42.625266	9.489017	2019-09-16 16:59:39	2
40575	42.625254	9.488938	2019-09-16 16:59:43	2
40576	42.625259	9.488917	2019-09-16 16:59:47	2
40577	42.625264	9.488876	2019-09-16 16:59:53	2
40578	42.625259	9.488891	2019-09-16 16:59:55	2
40579	42.625270	9.488846	2019-09-16 16:59:57	2
40580	42.625255	9.488697	2019-09-16 17:00:15	2
40581	42.625215	9.488551	2019-09-16 17:00:19	2
40582	42.625264	9.488659	2019-09-16 17:00:25	2
40583	42.625192	9.488519	2019-09-16 17:00:29	2
40584	42.625308	9.488591	2019-09-16 17:00:31	2
40585	42.625226	9.488516	2019-09-16 17:00:37	2
40586	42.625229	9.488467	2019-09-16 17:00:41	2
40587	42.625157	9.488388	2019-09-16 17:00:43	2
40588	42.625283	9.488492	2019-09-16 17:00:45	2
40589	42.625188	9.488358	2019-09-16 17:00:59	2
40590	42.625177	9.488326	2019-09-16 17:01:05	2
40591	42.625169	9.488273	2019-09-16 17:01:11	2
40592	42.625133	9.488258	2019-09-16 17:01:17	2
40593	42.625296	9.488309	2019-09-16 17:01:19	2
40594	42.625135	9.488201	2019-09-16 17:01:21	2
40595	42.625112	9.488032	2019-09-16 17:01:51	2
40596	42.625079	9.487984	2019-09-16 17:01:55	2
40597	42.625129	9.487977	2019-09-16 17:01:59	2
40598	42.625084	9.487918	2019-09-16 17:02:07	2
40599	42.625127	9.487853	2019-09-16 17:02:27	2
40600	42.625091	9.487820	2019-09-16 17:02:31	2
40601	42.624962	9.487669	2019-09-16 17:02:59	2
40602	42.624995	9.487477	2019-09-16 17:03:23	2
40603	42.624931	9.487325	2019-09-16 17:03:47	2
40604	42.624575	9.486085	2019-09-16 17:08:56	2
